SO_Fam,SO_use,SO_own,SO_noown,OWN1,OWN2,OWN3,OWN4,OWN5,OWN6,OWN7,OWN8,OWN9,FUTURE1,FUTURE2,FUTURE3,FUTURE4,FUTURE5,BEHAVIOR,TECH_SAVVY,TECH1,TECH2,TECH3,TECH4,TECH5,TECH6,TECH7,TECH8,GENDER,AGE,ED,INCOME,TECH5_RECODE,AVG_TECH,AGE_RECODED
2,2,2,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,2,3,2,2,3,3,4,4,3,3,2,22,5,4,2,2.75,2
4,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,3,3,3,4,2,3,3,2,3,1,28,4,6,3,2.88,3
3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,4,4,3,4,3,3,3,3,3,2,19,3,7,3,3.25,1
2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,4,4,4,4,4,5,4,5,4,2,21,3,7,1,3.75,1
2,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,4,4,4,3,4,2,3,2,2,55,4,6,2,3.00,3
5,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,5,5,5,5,5,4,5,5,5,2,16,1,5,2,4.63,1
3,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,3,5,4,4,3,3,4,3,3,1,22,4,3,3,3.63,2
3,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3,3,4,4,2,5,4,3,4,2,22,4,7,1,3.13,2
1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,3,2,4,2,4,2,1,2,2,22,5,8,2,2.25,2
4,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3,5,4,4,4,4,5,4,3,4,2,22,4,3,1,3.50,2
1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,4,4,4,3,3,4,2,4,2,22,4,7,3,3.50,2
2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,3,3,3,1,5,1,1,2,2,22,4,2,1,1.88,2
5,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,5,5,5,5,5,5,5,5,5,5,2,23,4,3,1,4.50,2
4,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,4,4,4,4,2,4,3,3,4,1,17,1,1,2,3.25,1
2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,4,4,4,4,3,3,3,2,22,5,1,2,3.38,2
4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,4,4,4,4,4,4,3,4,1,24,4,3,2,3.63,2
3,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,3,4,5,5,5,4,4,4,4,5,1,22,5,1,2,4.25,2
3,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,4,5,4,4,2,3,4,3,4,2,22,4,2,3,3.63,2
2,2,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,4,4,4,2,4,3,2,4,2,25,5,1,2,3.13,2
5,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,2,4,4,4,4,2,3,3,2,4,1,21,3,6,3,3.25,1
3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,4,2,4,3,3,3,2,4,2,22,3,1,3,3.13,2
4,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,4,4,3,4,2,5,3,1,5,2,21,3,5,1,2.88,1
4,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,4,5,5,5,5,4,5,5,4,5,1,55,6,7,1,4.25,3
3,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,4,4,4,4,3,4,3,3,4,2,22,4,2,2,3.38,2
4,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,3,4,4,4,4,4,4,4,4,4,2,21,3,1,2,3.75,1
3,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,4,5,5,5,5,4,5,5,4,4,1,22,2,6,1,4.13,2
4,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,5,4,4,4,4,4,4,4,4,2,27,4,5,2,3.75,2
3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,3,4,3,3,3,4,3,3,3,2,49,3,5,2,3.00,3
1,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,4,3,5,4,3,3,5,5,2,21,3,8,3,4.00,1
1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,4,4,4,4,4,3,3,3,2,53,1,3,2,3.38,3
3,1,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,4,4,4,4,5,4,3,4,2,29,2,4,1,3.50,3
1,3,3,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,2,3,3,3,2,3,3,3,2,1,34,6,6,3,2.75,3
3,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,3,3,4,4,4,3,4,4,3,3,2,60,4,6,2,3.38,3
4,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2,5,5,5,5,3,5,5,4,4,2,23,4,4,1,4.00,2
4,2,2,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,4,4,4,4,4,5,5,4,1,23,4,1,2,4.00,2
5,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,5,4,4,4,4,4,4,4,3,4,1,32,4,7,2,3.63,3
4,1,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,4,3,4,2,4,2,3,4,2,22,5,7,2,3.00,2
4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,4,4,3,3,2,4,3,3,4,1,27,4,6,2,3.00,2
3,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,2,4,4,4,4,3,5,5,4,4,2,24,4,6,1,3.63,2
1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,1,3,1,5,1,1,1,1,51,4,6,1,1.25,3
1,2,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,3,3,3,4,3,4,3,3,3,2,34,4,6,2,3.00,3
4,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,2,4,4,4,5,2,4,3,3,4,2,21,4,6,2,3.38,1
4,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,3,4,3,4,3,5,3,4,3,2,18,3,1,1,3.13,1
5,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,4,4,4,4,2,3,2,2,4,2,51,4,6,3,3.13,3
5,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,3,4,5,4,4,3,4,5,4,5,2,23,4,8,2,4.00,2
5,2,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,5,5,5,5,5,5,5,5,2,24,5,4,1,4.50,2
4,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,3,4,5,5,5,2,5,3,3,4,2,25,4,4,1,3.50,2
1,3,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,4,3,4,3,5,3,2,5,2,24,4,4,1,3.13,2
1,3,3,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,3,4,5,4,4,2,5,4,5,4,2,24,4,2,1,3.63,2
3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,3,3,3,4,4,5,3,4,3,2,24,5,1,1,3.13,2